"gemeindeschluessel","anzahl_meldebereiche","faelle_covid_aktuell","anzahl_standorte","betten_frei","betten_belegt","daten_stand"
"01001",2,0,2,36,42,2020-04-25
"01002",4,4,3,99,116,2020-04-25
"01003",2,5,2,117,106,2020-04-25
"01004",1,1,1,18,20,2020-04-25
"01051",1,2,1,49,29,2020-04-25
"01053",2,1,2,9,9,2020-04-25
"01054",3,0,3,22,22,2020-04-25
"01055",3,0,3,27,25,2020-04-25
"01056",2,6,2,11,26,2020-04-25
"01057",1,2,1,4,8,2020-04-25
"01058",2,3,2,13,29,2020-04-25
"01059",1,0,1,8,16,2020-04-25
"01060",4,1,4,70,65,2020-04-25
"01061",1,0,1,17,23,2020-04-25
"01062",3,0,3,22,35,2020-04-25
"02000",28,75,24,383,554,2020-04-25
"03101",5,6,5,61,86,2020-04-25
"03102",2,3,2,18,9,2020-04-25
"03103",1,1,1,29,19,2020-04-25
"03151",2,0,2,11,9,2020-04-25
"03153",3,8,3,37,38,2020-04-25
"03154",1,5,1,15,19,2020-04-25
"03155",2,2,2,8,15,2020-04-25
"03157",1,0,1,5,17,2020-04-25
"03158",1,4,1,8,8,2020-04-25
"03159",6,12,6,78,163,2020-04-25
"03241",16,40,16,164,345,2020-04-25
"03251",3,2,3,10,8,2020-04-25
"03252",4,4,4,17,55,2020-04-25
"03254",5,8,4,48,62,2020-04-25
"03255",1,0,1,5,9,2020-04-25
"03256",1,0,1,23,13,2020-04-25
"03257",1,1,1,5,18,2020-04-25
"03351",3,0,1,26,21,2020-04-25
"03352",2,1,2,9,9,2020-04-25
"03353",3,5,3,26,38,2020-04-25
"03354",1,0,1,27,2,2020-04-25
"03355",2,0,2,20,23,2020-04-25
"03356",2,0,2,7,10,2020-04-25
"03357",3,2,2,19,15,2020-04-25
"03358",3,2,3,24,16,2020-04-25
"03359",3,0,2,22,19,2020-04-25
"03360",2,2,2,16,11,2020-04-25
"03361",2,1,2,9,8,2020-04-25
"03401",1,2,1,17,12,2020-04-25
"03402",1,2,1,13,8,2020-04-25
"03403",4,8,3,142,72,2020-04-25
"03404",4,11,4,84,62,2020-04-25
"03405",1,0,1,9,22,2020-04-25
"03451",2,4,2,11,9,2020-04-25
"03452",3,0,3,24,18,2020-04-25
"03453",3,0,3,24,26,2020-04-25
"03454",6,7,6,52,57,2020-04-25
"03455",2,0,2,8,10,2020-04-25
"03456",1,5,1,23,15,2020-04-25
"03457",3,1,2,25,18,2020-04-25
"03458",1,1,1,9,6,2020-04-25
"03459",8,1,7,72,80,2020-04-25
"03460",3,1,3,53,18,2020-04-25
"03461",2,0,2,12,14,2020-04-25
"03462",1,0,1,7,6,2020-04-25
"04011",10,9,9,92,110,2020-04-25
"04012",1,2,1,8,38,2020-04-25
"05111",12,24,11,91,214,2020-04-25
"05112",13,11,9,96,175,2020-04-25
"05113",15,26,14,95,266,2020-04-25
"05114",4,14,4,20,74,2020-04-25
"05116",5,11,4,38,84,2020-04-25
"05117",2,6,2,17,31,2020-04-25
"05119",6,1,4,35,37,2020-04-25
"05120",1,5,1,19,17,2020-04-25
"05122",3,8,3,41,53,2020-04-25
"05124",5,15,5,110,108,2020-04-25
"05154",5,5,5,51,37,2020-04-25
"05158",6,7,6,50,43,2020-04-25
"05162",7,12,6,42,83,2020-04-25
"05166",4,8,4,36,34,2020-04-25
"05170",8,9,8,59,106,2020-04-25
"05314",15,21,11,86,207,2020-04-25
"05315",26,57,18,124,329,2020-04-25
"05316",3,2,2,39,45,2020-04-25
"05334",8,38,7,165,178,2020-04-25
"05358",5,11,5,28,56,2020-04-25
"05362",7,10,7,29,56,2020-04-25
"05366",3,3,3,10,39,2020-04-25
"05370",3,8,3,6,29,2020-04-25
"05374",7,3,7,41,57,2020-04-25
"05378",4,6,4,18,38,2020-04-25
"05382",6,5,6,29,68,2020-04-25
"05512",2,3,2,34,30,2020-04-25
"05513",5,9,4,76,41,2020-04-25
"05515",8,14,7,71,191,2020-04-25
"05554",5,10,5,37,47,2020-04-25
"05558",3,1,3,31,14,2020-04-25
"05562",14,7,14,157,160,2020-04-25
"05566",5,18,5,46,60,2020-04-25
"05570",5,3,5,40,23,2020-04-25
"05711",5,4,4,59,108,2020-04-25
"05754",3,2,3,28,26,2020-04-25
"05758",4,4,3,27,43,2020-04-25
"05762",5,4,5,21,23,2020-04-25
"05766",2,6,2,31,50,2020-04-25
"05770",6,12,6,46,103,2020-04-25
"05774",5,8,4,47,71,2020-04-25
"05911",8,11,6,77,174,2020-04-25
"05913",9,8,9,95,210,2020-04-25
"05914",5,6,5,47,31,2020-04-25
"05915",5,7,5,38,51,2020-04-25
"05916",4,4,4,21,49,2020-04-25
"05954",6,3,6,63,46,2020-04-25
"05958",9,4,9,65,60,2020-04-25
"05962",8,16,8,61,76,2020-04-25
"05966",3,12,3,20,27,2020-04-25
"05970",6,4,6,47,93,2020-04-25
"05974",6,2,6,30,55,2020-04-25
"05978",7,5,7,60,70,2020-04-25
"06411",6,10,4,32,47,2020-04-25
"06412",16,45,12,123,255,2020-04-25
"06413",2,8,2,43,71,2020-04-25
"06414",5,9,4,69,83,2020-04-25
"06431",5,5,5,23,28,2020-04-25
"06432",2,10,2,4,23,2020-04-25
"06433",2,6,2,22,14,2020-04-25
"06434",3,5,3,4,27,2020-04-25
"06435",4,18,4,31,59,2020-04-25
"06436",2,12,2,46,28,2020-04-25
"06437",2,6,2,25,116,2020-04-25
"06438",2,15,2,18,40,2020-04-25
"06439",2,0,2,11,11,2020-04-25
"06440",5,4,5,58,86,2020-04-25
"06531",4,14,4,53,215,2020-04-25
"06532",2,3,2,18,41,2020-04-25
"06533",3,3,3,34,32,2020-04-25
"06534",4,6,3,53,131,2020-04-25
"06535",4,2,4,23,18,2020-04-25
"06611",6,9,6,57,125,2020-04-25
"06631",4,9,4,21,68,2020-04-25
"06632",3,2,3,38,33,2020-04-25
"06633",4,1,4,18,16,2020-04-25
"06634",3,4,3,32,17,2020-04-25
"06635",7,1,7,53,74,2020-04-25
"06636",2,2,2,24,15,2020-04-25
"07111",4,8,4,52,68,2020-04-25
"07131",2,1,2,15,13,2020-04-25
"07132",2,3,2,12,8,2020-04-25
"07133",4,3,4,25,23,2020-04-25
"07134",2,1,2,16,12,2020-04-25
"07135",2,0,2,11,5,2020-04-25
"07137",4,2,4,29,15,2020-04-25
"07138",5,2,5,40,34,2020-04-25
"07140",2,0,2,7,6,2020-04-25
"07141",5,2,5,23,25,2020-04-25
"07143",3,0,3,16,6,2020-04-25
"07211",4,4,3,57,66,2020-04-25
"07231",2,2,2,15,12,2020-04-25
"07232",2,1,2,11,8,2020-04-25
"07233",2,5,2,14,6,2020-04-25
"07235",2,0,2,14,6,2020-04-25
"07311",1,3,1,8,14,2020-04-25
"07312",1,9,1,65,86,2020-04-25
"07313",2,4,2,17,1,2020-04-25
"07314",4,8,4,48,73,2020-04-25
"07315",2,9,2,45,100,2020-04-25
"07316",1,0,1,9,12,2020-04-25
"07317",1,0,1,9,7,2020-04-25
"07318",2,7,2,9,21,2020-04-25
"07319",1,1,1,3,27,2020-04-25
"07320",1,2,1,8,7,2020-04-25
"07331",1,0,1,1,5,2020-04-25
"07332",2,3,2,6,10,2020-04-25
"07333",2,0,2,4,8,2020-04-25
"07334",2,1,2,14,14,2020-04-25
"07335",1,0,1,9,6,2020-04-25
"07336",1,0,1,1,15,2020-04-25
"07337",2,0,2,8,9,2020-04-25
"07339",2,12,2,10,14,2020-04-25
"07340",1,2,1,8,1,2020-04-25
"08111",11,23,10,220,300,2020-04-25
"08115",4,11,4,22,41,2020-04-25
"08116",6,20,4,37,56,2020-04-25
"08117",4,4,3,42,31,2020-04-25
"08118",4,24,4,105,100,2020-04-25
"08119",2,12,2,59,50,2020-04-25
"08121",1,22,1,67,42,2020-04-25
"08125",2,10,2,27,32,2020-04-25
"08126",1,4,1,4,7,2020-04-25
"08127",2,7,2,10,23,2020-04-25
"08128",3,12,3,32,34,2020-04-25
"08135",1,3,1,11,13,2020-04-25
"08136",3,9,3,20,31,2020-04-25
"08211",1,10,1,9,15,2020-04-25
"08212",4,9,4,67,122,2020-04-25
"08215",3,8,3,54,25,2020-04-25
"08216",2,0,2,0,15,2020-04-25
"08221",6,23,6,134,248,2020-04-25
