"gemeindeschluessel","anzahl_meldebereiche","faelle_covid_aktuell","faelle_covid_aktuell_beatmet","anzahl_standorte","betten_frei","betten_belegt","bundesland","daten_stand"
"01001",2,0,0,2,40,39,"01",2020-04-26
"01002",4,4,3,3,103,112,"01",2020-04-26
"01003",2,5,5,2,121,102,"01",2020-04-26
"01004",1,1,1,1,20,18,"01",2020-04-26
"01051",1,2,1,1,49,24,"01",2020-04-26
"01053",2,1,1,2,9,9,"01",2020-04-26
"01054",3,0,0,3,23,22,"01",2020-04-26
"01055",3,0,0,3,24,28,"01",2020-04-26
"01056",2,5,4,2,12,25,"01",2020-04-26
"01057",1,2,1,1,3,9,"01",2020-04-26
"01058",1,0,0,1,4,2,"01",2020-04-26
"01059",1,0,0,1,9,15,"01",2020-04-26
"01060",4,1,0,4,72,63,"01",2020-04-26
"01061",1,0,0,1,17,23,"01",2020-04-26
"01062",3,0,0,3,22,34,"01",2020-04-26
"02000",28,80,64,24,366,528,"02",2020-04-26
"03101",5,6,6,5,65,82,"03",2020-04-26
"03102",2,1,0,2,15,12,"03",2020-04-26
"03103",1,1,0,1,29,19,"03",2020-04-26
"03151",2,0,0,2,9,11,"03",2020-04-26
"03153",3,9,7,3,35,40,"03",2020-04-26
"03154",1,5,2,1,15,19,"03",2020-04-26
"03155",2,3,2,2,11,12,"03",2020-04-26
"03157",1,1,1,1,5,17,"03",2020-04-26
"03158",1,4,4,1,6,10,"03",2020-04-26
"03159",6,15,6,6,64,122,"03",2020-04-26
"03241",16,39,32,16,178,327,"03",2020-04-26
"03251",3,2,1,3,10,10,"03",2020-04-26
"03252",4,4,2,4,20,51,"03",2020-04-26
"03254",5,6,3,4,56,55,"03",2020-04-26
"03255",1,0,0,1,2,12,"03",2020-04-26
"03256",1,0,0,1,21,15,"03",2020-04-26
"03257",1,1,0,1,5,18,"03",2020-04-26
"03351",3,0,0,1,28,19,"03",2020-04-26
"03352",2,1,0,2,10,8,"03",2020-04-26
"03353",3,2,2,3,32,32,"03",2020-04-26
"03354",1,0,0,1,24,3,"03",2020-04-26
"03355",2,0,0,2,24,19,"03",2020-04-26
"03356",2,0,0,2,4,13,"03",2020-04-26
"03357",3,2,2,2,19,14,"03",2020-04-26
"03358",3,2,1,3,21,23,"03",2020-04-26
"03359",3,0,0,2,21,20,"03",2020-04-26
"03360",2,2,1,2,16,11,"03",2020-04-26
"03361",2,1,1,2,9,9,"03",2020-04-26
"03401",1,2,2,1,18,10,"03",2020-04-26
"03402",1,0,0,1,14,7,"03",2020-04-26
"03403",4,8,7,3,149,63,"03",2020-04-26
"03404",4,11,9,4,87,59,"03",2020-04-26
"03405",1,0,0,1,9,25,"03",2020-04-26
"03451",2,4,4,2,12,8,"03",2020-04-26
"03452",3,0,0,3,19,23,"03",2020-04-26
"03453",3,0,0,3,27,23,"03",2020-04-26
"03454",6,7,7,6,57,53,"03",2020-04-26
"03455",2,1,1,2,11,7,"03",2020-04-26
"03456",1,6,4,1,15,23,"03",2020-04-26
"03457",3,1,0,2,25,18,"03",2020-04-26
"03458",1,1,1,1,8,7,"03",2020-04-26
"03459",8,1,0,7,75,66,"03",2020-04-26
"03460",3,1,0,3,46,25,"03",2020-04-26
"03461",2,0,0,2,12,14,"03",2020-04-26
"03462",1,0,0,1,7,6,"03",2020-04-26
"04011",10,9,7,9,82,118,"04",2020-04-26
"04012",1,2,1,1,8,38,"04",2020-04-26
"05111",12,24,21,11,88,226,"05",2020-04-26
"05112",12,10,10,9,100,167,"05",2020-04-26
"05113",15,27,23,14,115,250,"05",2020-04-26
"05114",4,15,9,4,18,72,"05",2020-04-26
"05116",5,12,9,4,38,85,"05",2020-04-26
"05117",2,6,5,2,17,30,"05",2020-04-26
"05119",5,1,0,4,30,32,"05",2020-04-26
"05120",1,5,3,1,19,17,"05",2020-04-26
"05122",3,8,6,3,44,51,"05",2020-04-26
"05124",5,15,11,5,136,106,"05",2020-04-26
"05154",5,7,4,5,47,40,"05",2020-04-26
"05158",5,8,7,5,34,43,"05",2020-04-26
"05162",7,12,11,6,37,88,"05",2020-04-26
"05166",4,5,5,4,28,42,"05",2020-04-26
"05170",8,10,7,8,62,103,"05",2020-04-26
"05314",15,21,17,11,86,206,"05",2020-04-26
"05315",25,52,38,18,118,307,"05",2020-04-26
"05316",3,3,2,2,35,49,"05",2020-04-26
"05334",8,38,33,7,165,172,"05",2020-04-26
"05358",5,10,4,5,22,62,"05",2020-04-26
"05362",7,10,5,7,34,53,"05",2020-04-26
"05366",3,3,3,3,12,37,"05",2020-04-26
"05370",3,8,6,3,9,28,"05",2020-04-26
"05374",7,2,4,7,54,49,"05",2020-04-26
"05378",4,6,5,4,19,37,"05",2020-04-26
"05382",6,5,4,6,40,66,"05",2020-04-26
"05512",2,3,1,2,33,31,"05",2020-04-26
"05513",4,5,2,3,73,31,"05",2020-04-26
"05515",8,14,11,7,75,188,"05",2020-04-26
"05554",5,10,6,5,39,45,"05",2020-04-26
"05558",3,1,1,3,29,14,"05",2020-04-26
"05562",14,7,4,14,159,159,"05",2020-04-26
"05566",5,20,16,5,38,68,"05",2020-04-26
"05570",5,3,2,5,38,27,"05",2020-04-26
"05711",4,5,5,4,49,101,"05",2020-04-26
"05754",3,2,1,3,27,27,"05",2020-04-26
"05758",4,4,4,3,21,49,"05",2020-04-26
"05762",5,5,3,5,17,24,"05",2020-04-26
"05766",2,8,6,2,31,50,"05",2020-04-26
"05770",6,11,5,6,51,98,"05",2020-04-26
"05774",5,7,6,4,46,72,"05",2020-04-26
"05911",8,11,7,6,81,170,"05",2020-04-26
"05913",9,8,7,9,97,201,"05",2020-04-26
"05914",5,6,1,5,49,38,"05",2020-04-26
"05915",5,8,5,5,39,50,"05",2020-04-26
"05916",4,5,3,4,24,46,"05",2020-04-26
"05954",5,2,2,5,48,37,"05",2020-04-26
