bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,3,1,2,4,38,2022-11-01 11:21:04+00:00,35,0
01,01002,7,2,1,3,23,111,2022-11-01 11:21:04+00:00,93,17
01,01003,3,8,2,2,8,107,2022-11-01 11:21:04+00:00,88,3
01,01004,1,2,0,1,1,22,2022-11-01 11:21:04+00:00,22,1
01,01051,1,1,0,1,2,34,2022-11-01 11:21:04+00:00,34,2
01,01053,2,1,0,2,1,15,2022-11-01 11:21:04+00:00,15,1
01,01054,3,0,0,3,7,17,2022-11-01 11:21:04+00:00,17,7
01,01055,3,2,0,3,3,37,2022-11-01 11:21:04+00:00,37,3
01,01056,2,2,1,2,8,25,2022-11-01 11:21:04+00:00,25,8
01,01057,1,0,0,1,8,4,2022-11-01 11:21:04+00:00,4,8
01,01058,5,3,2,3,11,32,2022-11-01 11:21:04+00:00,28,9
01,01059,1,1,0,1,2,22,2022-11-01 11:21:04+00:00,22,2
01,01060,3,3,2,3,12,72,2022-11-01 11:21:04+00:00,72,12
01,01061,3,2,0,1,8,35,2022-11-01 11:21:04+00:00,24,6
01,01062,3,0,0,3,7,19,2022-11-01 11:21:04+00:00,19,7
02,02000,34,22,13,24,98,428,2022-11-01 11:21:04+00:00,366,59
03,03101,7,3,1,5,36,96,2022-11-01 11:21:04+00:00,86,29
03,03102,2,1,1,2,1,27,2022-11-01 11:21:04+00:00,27,1
03,03103,3,3,1,1,6,20,2022-11-01 11:21:04+00:00,16,0
03,03151,1,1,0,1,0,13,2022-11-01 11:21:04+00:00,13,0
03,03153,3,3,0,3,2,20,2022-11-01 11:21:04+00:00,20,2
03,03154,1,2,0,1,0,10,2022-11-01 11:21:04+00:00,10,0
03,03155,2,5,0,2,3,19,2022-11-01 11:21:04+00:00,19,3
03,03157,1,0,0,1,4,10,2022-11-01 11:21:04+00:00,10,4
03,03158,1,1,0,1,4,12,2022-11-01 11:21:04+00:00,12,4
03,03159,7,12,3,6,26,102,2022-11-01 11:21:04+00:00,90,25
03,03241,19,14,5,16,49,331,2022-11-01 11:21:04+00:00,283,39
03,03251,3,2,0,3,9,9,2022-11-01 11:21:04+00:00,9,9
03,03252,6,3,0,4,15,53,2022-11-01 11:21:04+00:00,50,12
03,03254,7,3,0,4,23,49,2022-11-01 11:21:04+00:00,40,20
03,03255,1,1,1,1,1,8,2022-11-01 11:21:04+00:00,8,1
03,03256,1,2,1,1,0,12,2022-11-01 11:21:04+00:00,12,0
03,03257,1,0,0,1,9,15,2022-11-01 11:21:04+00:00,15,9
03,03351,2,4,1,1,6,24,2022-11-01 11:21:04+00:00,19,1
03,03352,2,3,0,2,5,10,2022-11-01 11:21:04+00:00,10,5
03,03353,3,1,0,3,8,26,2022-11-01 11:21:04+00:00,26,8
03,03354,1,0,0,1,0,5,2022-11-01 11:21:04+00:00,5,0
03,03355,3,0,0,1,5,32,2022-11-01 11:21:04+00:00,17,3
03,03356,3,0,0,2,2,8,2022-11-01 11:21:04+00:00,8,2
03,03357,3,3,2,2,5,25,2022-11-01 11:21:04+00:00,25,1
03,03358,2,1,1,2,0,15,2022-11-01 11:21:04+00:00,15,0
03,03359,3,0,0,2,4,21,2022-11-01 11:21:04+00:00,21,1
03,03360,2,1,0,2,10,66,2022-11-01 11:21:04+00:00,66,10
03,03361,2,1,0,2,0,15,2022-11-01 11:21:04+00:00,15,0
03,03401,1,0,0,1,1,15,2022-11-01 11:21:04+00:00,15,1
03,03402,1,0,0,1,1,12,2022-11-01 11:21:04+00:00,12,1
03,03403,5,1,0,3,8,111,2022-11-01 11:21:04+00:00,94,5
03,03404,5,5,0,4,5,105,2022-11-01 11:21:04+00:00,90,4
03,03405,1,2,1,1,2,17,2022-11-01 11:21:04+00:00,17,2
03,03451,3,5,3,2,1,27,2022-11-01 11:21:04+00:00,27,1
03,03452,4,5,2,3,5,33,2022-11-01 11:21:04+00:00,28,2
03,03453,3,2,0,3,8,14,2022-11-01 11:21:04+00:00,14,8
