"Datum","Neuinfektionen","Sieben_Tage_Inzidenz"
2020-11-05,19990,126.8
2020-11-09,13363,139
2020-11-10,15332,139.1
2020-11-11,18487,138.1
2020-11-12,21866,138.9
2020-11-13,23542,140.4
2020-11-14,22461,141.3
2020-11-15,16947,142.5
2020-11-16,10824,143.3
2020-11-17,14419,141.4
2020-11-18,17561,138.9
2020-11-19,22609,138.9
2020-11-20,23648,139
2020-11-21,22964,140.8
2020-11-22,15741,140.7
2020-11-23,10864,143.1
2020-11-24,13554,141.8
2020-11-25,18633,139.6
2020-11-26,22268,137.8
2020-11-27,22806,136.5
2020-11-28,21695,135.9
2020-11-29,14611,135.5
2020-11-30,11169,138.4
2020-12-01,13604,136.6
2020-12-02,17270,134
2020-12-03,22046,134
2020-12-04,23449,134.7
2020-12-05,23318,138.4
2020-12-06,17767,141.7
2020-12-07,12332,145.9
2020-12-08,14054,146.9
2020-12-09,20815,148.8
2020-12-10,23679,149.4
2020-12-11,29875,156
2020-12-12,28438,163.5
2020-12-13,20200,168.8
2020-12-14,16362,176.1
2020-12-15,14432,173.7
2020-12-16,27728,179.8
2020-12-17,26923,179.2
2020-12-18,33777,184.8
2020-12-19,31300,189.6
2020-12-20,22771,192.2
2020-12-21,16643,197.1
2020-12-22,19528,197.6
2020-12-23,24740,195.1
2020-12-24,32195,196.2
2020-12-25,25533,188.8
2020-12-26,14455,170.7
2020-12-27,13755,161.3
2020-12-28,10976,157.8
2020-12-29,12892,149.2
2020-12-30,22459,141.3
2020-12-31,32552,139.8
2021-01-01,22924,141.9
2021-01-02,12690,141.2
2021-01-03,10315,139.6
2021-01-04,9847,139.4
2021-01-05,11897,134.7
2021-01-06,21237,127.3
2021-01-07,26391,121.8
2021-01-08,31849,136.5
2021-01-09,24694,153.9
2021-01-10,16946,162.2
2021-01-11,12497,166.6
2021-01-12,12802,164.5
2021-01-13,19600,155
2021-01-14,25164,151.2
2021-01-15,22368,146.1
2021-01-16,18678,139.2
2021-01-17,13882,136
2021-01-18,7141,134.4
2021-01-19,11369,131.5
2021-01-20,15974,123.5
2021-01-21,20398,119
2021-01-22,17862,115.3
2021-01-23,16417,112.6
