"date","bundesland","impfungen_kumulativ","differenz_zum_vortag","indikation_nach_alter","berufliche_indikation","medizinische_indikation","pflegeheim_bewohner_in"
2020-12-29,"Baden-Württemberg",8242,3509,3243,2994,517,933
2020-12-29,"Bayern",12935,7716,3010,5573,214,5314
2020-12-29,"Berlin",6296,2457,4918,1396,105,4899
2020-12-29,"Brandenburg",1553,1442,110,1430,13,123
2020-12-29,"Bremen",1059,467,528,201,3,579
2020-12-29,"Hamburg",1499,428,704,661,0,839
2020-12-29,"Hessen",9448,5094,3041,5092,500,3825
2020-12-29,"Mecklenburg-Vorpommern",7338,3711,87,4011,4,3231
2020-12-29,"Niedersachsen",1527,692,83,824,145,794
2020-12-29,"Nordrhein-Westfalen",11385,3857,0,2771,0,8622
2020-12-29,"Rheinland-Pfalz",2284,822,0,1011,0,1273
2020-12-29,"Saarland",1518,656,1177,101,0,711
2020-12-29,"Sachsen",1487,812,150,1294,1,192
2020-12-29,"Sachsen-Anhalt",7287,3302,2620,3209,262,3942
2020-12-29,"Schleswig-Holstein",3579,1893,1016,1858,871,1698
2020-12-29,"Thüringen",672,415,226,252,0,327
2020-12-28,"Baden-Württemberg**",4721,2560,1720,1877,326,192
2020-12-28,"Bayern",5219,1830,1457,1830,91,2423
2020-12-28,"Berlin",3839,2213,3340,517,105,3322
2020-12-28,"Brandenburg**",107,75,60,47,NA,60
2020-12-28,"Bremen**",592,174,276,133,NA,278
2020-12-28,"Hamburg",1071,626,507,471,NA,600
2020-12-28,"Hessen",4354,1242,1480,2425,287,1702
2020-12-28,"Mecklenburg-Vorpommern",4170,3488,100,1862,2,2209
2020-12-28,"Niedersachsen",835,501,79,370,141,552
2020-12-28,"Nordrhein-Westfalen",7136,518,NA,1788,NA,5348
2020-12-28,"Rheinland-Pfalz",1462,210,NA,715,NA,747
2020-12-28,"Saarland",862,647,658,51,NA,466
2020-12-28,"Sachsen",857,675,240,551,1,305
2020-12-28,"Sachsen-Anhalt",3985,2481,1592,1678,124,2292
2020-12-28,"Schleswig-Holstein",2495,1686,588,528,584,1136
2020-12-28,"Thüringen",257,158,135,121,NA,135
2020-12-27,"Baden-Württemberg*",2084,NA,624,964,151,NA
2020-12-27,"Bayern",3389,NA,994,1051,68,1620
2020-12-27,"Berlin",1626,NA,1416,228,105,1398
2020-12-27,"Brandenburg",100,NA,80,20,NA,12
2020-12-27,"Bremen*",420,NA,205,87,NA,NA
2020-12-27,"Hamburg",445,NA,197,222,0,223
2020-12-27,"Hessen",3112,NA,1086,1694,154,1347
2020-12-27,"Mecklenburg-Vorpommern*",590,NA,NA,240,NA,350
2020-12-27,"Niedersachsen",334,NA,42,116,140,306
2020-12-27,"Nordrhein-Westfalen*",5405,NA,NA,1370,NA,3985
2020-12-27,"Rheinland-Pfalz*",1252,NA,NA,620,NA,632
2020-12-27,"Saarland",215,NA,168,4,NA,211
2020-12-27,"Sachsen",182,NA,90,69,0,113
2020-12-27,"Sachsen-Anhalt**",1504,1357,669,644,0,847
2020-12-27,"Schleswig-Holstein",809,NA,213,239,344,553
2020-12-27,"Thüringen",99,NA,49,50,NA,49
