"date","bundesland","impfungen_kumulativ","differenz_zum_vortag","indikation_nach_alter","berufliche_indikation","medizinische_indikation","pflegeheim_bewohner_in","x8","impfungen_pro_1_000_einwohner","x9","rs","x10","erstimpfung","x4","x5","x6","x7","zweitimpfung","erstimpfung_impfungenkumulativ_gesamt","erstimpfung_impfungenkumulativ_bio_n_tech","erstimpfung_impfungenkumulativ_moderna","erstimpfung_differenz_zum_vortag","erstimpfung_impfquote_percent","zweitimpfung_impfungenkumulativ","zweitimpfung_differenz_zum_vortag","gesamtzahl_bisher_verabreichter_impfstoffdosen","x","zweitimpfung_impfungenkumulativ_gesamt","zweitimpfung_impfungenkumulativ_bio_n_tech","zweitimpfung_impfungenkumulativ_moderna","zweitimpfung_impfquote_percent","erstimpfung_impfungenkumulativ_astra_zeneca"
2021-02-25,"Baden-Württemberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,"08",NA,NA,NA,NA,NA,NA,NA,467993,420170,24558,16819,4.21600350401977,NA,7051,713401,NA,245408,241621,3787,2.21080440928493,23265
2021-02-25,"Bayern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"09",NA,NA,NA,NA,NA,NA,NA,656391,579412,20194,23157,5.00117449972521,NA,8828,991781,NA,335390,326307,9083,2.55540358637282,56785
2021-02-25,"Berlin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,164172,145275,5661,3714,4.47397200320153,NA,2566,274314,NA,110142,107909,2233,3.00156070692093,13236
2021-02-25,"Brandenburg",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,99269,84060,4144,4511,3.93628912884091,NA,422,173387,NA,74118,73665,453,2.93898274034624,11065
2021-02-25,"Bremen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"04",NA,NA,NA,NA,NA,NA,NA,32768,27909,1931,759,4.81032058038585,NA,284,52265,NA,19497,18244,1253,2.86214661730294,2928
2021-02-25,"Hamburg",NA,NA,NA,NA,NA,NA,NA,NA,NA,"02",NA,NA,NA,NA,NA,NA,NA,92826,76428,1805,2583,5.0250831910951,NA,1039,143778,NA,50952,50440,512,2.75825780226098,14593
2021-02-25,"Hessen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"06",NA,NA,NA,NA,NA,NA,NA,254350,237853,7983,8802,4.04495489879264,NA,3752,377807,NA,123457,123311,146,1.96334970292999,8514
2021-02-25,"Mecklenburg-Vorpommern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,77222,70989,3137,2501,4.80195107633798,NA,646,124901,NA,47679,46561,1118,2.96485749357331,3096
2021-02-25,"Niedersachsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,341396,301961,10599,13929,4.27086241907284,NA,4413,501809,NA,160413,158788,1625,2.00676590595886,28836
2021-02-25,"Nordrhein-Westfalen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"05",NA,NA,NA,NA,NA,NA,NA,803674,692694,19217,17297,4.47798575612347,NA,5464,1167105,NA,363431,358011,5420,2.02499874493104,91763
2021-02-25,"Rheinland-Pfalz",NA,NA,NA,NA,NA,NA,NA,NA,NA,"07",NA,NA,NA,NA,NA,NA,NA,198884,172610,4537,6048,4.85805354938796,NA,929,335503,NA,136619,132888,3731,3.33713329309463,21737
2021-02-25,"Saarland",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,47298,38961,1490,1756,4.79264596655949,NA,102,69705,NA,22407,21926,481,2.27047270862824,6847
2021-02-25,"Sachsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,190984,176722,9491,6706,4.69021022006296,NA,2249,278919,NA,87935,87509,426,2.15951930895382,4771
2021-02-25,"Sachsen-Anhalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,91857,77703,3610,2853,4.18524482158137,NA,1198,143173,NA,51316,50651,665,2.33809098124552,10544
2021-02-25,"Schleswig-Holstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"01",NA,NA,NA,NA,NA,NA,NA,134647,117436,3919,2921,4.63696714584783,NA,2160,221344,NA,86697,85356,1341,2.98566726806813,13292
2021-02-25,"Thüringen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,106175,96244,6635,2524,4.97684892222569,NA,1433,161757,NA,55582,55581,1,2.60535170044877,3296
2021-02-24,"Baden-Württemberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,"08",NA,NA,NA,NA,NA,NA,NA,450121,410169,23081,13100,4.05500020990246,NA,8454,688239,NA,238118,234868,3250,2.14513106471716,16871
2021-02-24,"Bayern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"09",NA,NA,NA,NA,NA,NA,NA,633229,564814,19585,24223,4.8246985825316,NA,9718,959791,NA,326562,317640,8922,2.48814128618349,48830
2021-02-24,"Berlin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,160458,142042,5437,2899,4.37275905568375,NA,2764,268034,NA,107576,105473,2103,2.93163275233541,12979
2021-02-24,"Brandenburg",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,94758,82224,4123,4243,3.75741556045399,NA,580,168454,NA,73696,73465,231,2.92224927861729,8411
2021-02-24,"Bremen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"04",NA,NA,NA,NA,NA,NA,NA,32009,27398,1931,822,4.69889988579012,NA,294,51223,NA,19214,17961,1253,2.82060240574749,2680
2021-02-24,"Hamburg",NA,NA,NA,NA,NA,NA,NA,NA,NA,"02",NA,NA,NA,NA,NA,NA,NA,89986,75055,1805,2629,4.87134139178553,NA,1227,139833,NA,49847,49335,512,2.69843925006483,13126
2021-02-24,"Hessen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"06",NA,NA,NA,NA,NA,NA,NA,245548,230204,7973,8472,3.90497576366713,NA,3866,365253,NA,119705,119559,146,1.90368125087467,7371
2021-02-24,"Mecklenburg-Vorpommern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,74504,68704,3075,2043,4.63293573064003,NA,1014,121482,NA,46978,45987,991,2.92126670721045,2725
2021-02-24,"Niedersachsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,326099,290451,10103,14584,4.07949701811748,NA,3544,481592,NA,155493,153869,1624,1.9452167281658,25545
2021-02-24,"Nordrhein-Westfalen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"05",NA,NA,NA,NA,NA,NA,NA,780556,680789,18884,17884,4.34917472738537,NA,7600,1121846,NA,341290,335870,5420,1.9016314559229,80883
2021-02-24,"Rheinland-Pfalz",NA,NA,NA,NA,NA,NA,NA,NA,NA,"07",NA,NA,NA,NA,NA,NA,NA,192263,170521,4537,4908,4.69632524268406,NA,1528,327950,NA,135687,131956,3731,3.31436773172203,17205
2021-02-24,"Saarland",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,45457,38199,1481,1405,4.60609978650038,NA,602,67664,NA,22207,21881,326,2.25020696391785,5777
2021-02-24,"Sachsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,184278,171212,9059,5418,4.52552338904182,NA,2076,269964,NA,85686,85344,342,2.10428807081386,4007
2021-02-24,"Sachsen-Anhalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,89004,76105,3349,2369,4.05525469044306,NA,1223,139122,NA,50118,49453,665,2.28350697244647,9550
2021-02-24,"Schleswig-Holstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"01",NA,NA,NA,NA,NA,NA,NA,131419,115885,3806,2616,4.52580143144798,NA,1954,215956,NA,84537,83279,1258,2.91128128817232,11728
2021-02-24,"Thüringen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,103593,94221,6074,2745,4.85582020626443,NA,2005,157742,NA,54149,54148,1,2.53818123183046,3298
2021-02-23,"Baden-Württemberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,"08",NA,NA,NA,NA,NA,NA,NA,436296,402084,22100,11650,3.93045508114397,NA,7354,665759,NA,229463,227114,2349,2.06716085933526,12112
2021-02-23,"Bayern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"09",NA,NA,NA,NA,NA,NA,NA,609003,548554,18982,20586,4.6401158362259,NA,7896,925847,NA,316844,308025,8819,2.41409789773311,41467
2021-02-23,"Berlin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,157559,140364,5277,2133,4.29375627300898,NA,3067,262371,NA,104812,102863,1949,2.85630895402114,11918
2021-02-23,"Brandenburg",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,90507,80632,4118,3418,3.58885170782424,NA,835,163498,NA,72991,72907,84,2.89429408781419,5757
2021-02-23,"Bremen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"04",NA,NA,NA,NA,NA,NA,NA,31189,26856,1931,824,4.57852443181318,NA,311,50110,NA,18921,17668,1253,2.77759020085085,2402
